track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
64BdW5aHuB3C0QP3qjBJVi,I AM THEY,I AM THEY,Amen,41,238146,FALSE,0.516,0.634,7,-4.85,1,0.0339,0.03,1.89E-06,0.0813,0.0921,76.994,4,world-music
1pBc7W7UQacUeQ6kBVlN9f,Planetshakers,Greater (Live),Heaven Is My Home - Live,39,289179,FALSE,0.498,0.957,1,-5.807,0,0.162,0.00527,0,0.477,0.205,128.028,4,world-music
